Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1000,1.4189384,0.0002998524,-32.82489,0.21428571428571427,221.71428571428572,0.0
2000,1.4189384,0.0002995481,-31.713394,0.15,230.2,-0.8
3000,1.4189384,0.00029924934,-37.007656,0.2222222222222222,221.22222222222223,0.75
4000,1.4189384,0.00029894474,-34.36941,0.1875,170.375,-1.5
5000,1.4189382,0.00029864436,-29.003431,0.3,219.7,0.625
6000,1.4189383,0.0002983507,-31.150797,0.22727272727272727,181.9090909090909,-0.6
7000,1.4189384,0.0002980551,-33.05872,0.3333333333333333,192.0,2.25
8000,1.4189383,0.00029775107,-38.68302,0.3333333333333333,213.66666666666666,2.5
9000,1.4189383,0.00029745442,-34.736618,0.2222222222222222,247.22222222222223,0.5
10000,1.4189384,0.0002971537,-25.095072,0.22727272727272727,209.27272727272728,-0.5
11000,1.4192332,0.00029684757,-30.729221,0.125,169.83333333333334,-1.3333333333333333
12000,1.4193333,0.0002965482,-28.52161,0.22727272727272727,173.54545454545453,-0.5
13000,1.4193337,0.0002962522,-25.090794,0.16666666666666666,161.0,-1.25
14000,1.4193337,0.0002959506,-32.439816,0.25,201.25,-1.5
15000,1.4193333,0.00029565275,-27.17344,0.25,236.7,0.875
16000,1.4193332,0.0002953589,-38.56842,0.3333333333333333,253.0,2.5
17000,1.4193335,0.00029505722,-29.857199,0.22727272727272727,203.27272727272728,-0.6
18000,1.4193333,0.0002947556,-34.72054,0.25,174.1,0.5
19000,1.4193329,0.0002944525,-29.511211,0.17857142857142858,161.57142857142858,0.08333333333333333
20000,1.4193332,0.00029415282,-30.6837,0.3333333333333333,231.0,2.1666666666666665
21000,1.4196951,0.00029076915,-28.182915,0.14285714285714285,250.85714285714286,-1.25
22000,1.4196557,0.000290478,-29.699905,0.07142857142857142,207.42857142857142,0.16666666666666666
23000,1.4196559,0.00029018088,-28.42096,0.3333333333333333,198.16666666666666,2.375
24000,1.4196558,0.00028987156,-29.240814,0.2777777777777778,210.77777777777777,2.0
25000,1.4196557,0.00028956108,-26.153553,0.16666666666666666,163.41666666666666,-1.25
26000,1.4196558,0.00028926885,-27.867771,0.15,216.9,0.625
27000,1.4196558,0.0002889682,-30.492517,0.22727272727272727,168.9090909090909,-0.3
28000,1.4196557,0.00028866756,-29.965677,0.2777777777777778,258.77777777777777,0.0
29000,1.4196558,0.00028837138,-31.953842,0.25,225.875,0.375
30000,1.4196557,0.00028807536,-31.967316,0.3,193.5,0.75
31000,1.419638,0.00028777242,-32.151737,0.2857142857142857,212.85714285714286,0.0
32000,1.4195623,0.00028747413,-24.78312,0.3,233.0,0.375
33000,1.4195623,0.00028717954,-27.025587,0.3,156.9,0.875
34000,1.4195622,0.00028687037,-26.085125,0.22727272727272727,186.54545454545453,-0.6
35000,1.4195623,0.0002865643,-23.902332,0.16666666666666666,175.41666666666666,-1.25
36000,1.4195622,0.00028627625,-26.026604,0.25,218.5,0.625
37000,1.4195623,0.00028596792,-25.970709,0.2222222222222222,234.22222222222223,0.75
38000,1.4195625,0.0002856677,-28.129856,0.1,194.7,0.625
39000,1.4195623,0.0002853596,-29.6525,0.1875,169.875,-1.375
40000,1.4195625,0.00028508707,-28.577019,0.3333333333333333,248.66666666666666,2.6666666666666665
41000,1.4194942,0.00027925667,-24.908178,0.2727272727272727,209.36363636363637,-0.9
42000,1.4194278,0.0002785235,-28.657284,0.25,220.33333333333334,2.5
43000,1.4194233,0.00027822366,-22.503214,0.20833333333333334,168.91666666666666,-1.25
44000,1.4194235,0.0002779329,-20.202887,0.25,181.0,-1.0833333333333333
45000,1.4194236,0.0002776318,-25.110691,0.25,194.5,0.25
46000,1.4194235,0.00027732615,-23.542198,0.1875,234.125,-1.25
47000,1.4194235,0.00027702775,-24.078701,0.2727272727272727,169.9090909090909,-0.1
48000,1.4194235,0.00027672842,-26.386019,0.25,227.5,0.5
49000,1.4194236,0.0002764363,-23.695145,0.2777777777777778,232.77777777777777,2.6666666666666665
50000,1.4194235,0.0002761369,-24.010654,0.16666666666666666,312.1666666666667,0.0
51000,1.4194235,0.00027583734,-22.376724,0.21428571428571427,203.71428571428572,-0.16666666666666666
52000,1.4192343,0.00027554343,-24.029427,0.25,221.4,0.625
53000,1.4191175,0.00027524025,-23.936398,0.16666666666666666,201.75,1.0
54000,1.4191172,0.00027491964,-21.451698,0.2727272727272727,179.36363636363637,-0.4
55000,1.4191175,0.00027463614,-27.156073,0.3333333333333333,231.16666666666666,2.25
56000,1.4191172,0.00027433288,-21.3812,0.2857142857142857,254.14285714285714,0.0
57000,1.4191172,0.00027402717,-21.029224,0.23333333333333334,172.66666666666666,-0.7142857142857143
58000,1.4191175,0.00027373157,-29.203485,0.3333333333333333,285.8333333333333,3.0
59000,1.4191177,0.00027342656,-21.863361,0.13636363636363635,179.54545454545453,-0.4
