Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5000,2.2152863,1.4189384,0.00029730465,-24.97999892756343,4747.0,-24.97999459505081
6000,-1.0594082,1.4189383,0.00029670302,None,None,None
7000,-0.43508315,1.4189383,0.00029608863,None,None,None
8000,0.04323345,1.4189383,0.0002954934,None,None,None
9000,0.60234815,1.4189383,0.0002948982,None,None,None
10000,1.937221,1.4189383,0.00029430303,None,None,None
11000,1.6294377,1.4195225,0.00029370782,None,None,None
12000,-0.45037365,1.4197172,0.00029309513,-41.47999852523208,6546.0,-41.47999006509781
13000,-1.8767178,1.4197172,0.00029250182,None,None,None
14000,-0.7259154,1.4197172,0.00029190662,None,None,None
15000,0.030091774,1.4197172,0.0002912922,None,None,None
16000,0.9859494,1.4197172,0.00029068594,-16.679999113082886,3941.0,-16.679993867874146
17000,1.3176991,1.4197172,0.00029009941,None,None,None
18000,1.7883164,1.4197172,0.00028950424,None,None,None
19000,2.337449,1.4197172,0.0002888898,None,None,None
20000,-0.025912857,1.4197172,0.00028829463,None,None,None
21000,-1.6333795,1.4200103,0.0002876994,None,None,None
22000,-0.93494546,1.4203035,0.00028710422,None,None,None
23000,-0.32459024,1.4203035,0.00028650902,None,None,None
24000,0.4473792,1.4203035,0.0002858946,None,None,None
25000,1.0672702,1.4203035,0.00028529944,None,None,None
26000,1.6458416,1.4203035,0.0002847042,None,None,None
27000,1.870181,1.4203035,0.00028408982,None,None,None
28000,1.3188995,1.4203035,0.00028349465,None,None,None
29000,0.8724653,1.4203035,0.00028289942,None,None,None
30000,-2.091043,1.4203035,0.00028230425,None,None,None
31000,-1.0483782,1.4203146,0.000281709,None,None,None
32000,0.0057230256,1.4203624,0.00028109463,None,None,None
33000,0.5201688,1.4203624,0.0002804994,None,None,None
34000,0.50653017,1.4203624,0.00027990423,None,None,None
35000,0.49652138,1.4203624,0.00027928984,None,None,None
36000,0.49061355,1.4203624,0.0002786946,None,None,None
37000,0.7041142,1.4203624,0.0002780994,None,None,None
38000,1.1610211,1.4203624,0.0002775042,None,None,None
39000,1.5603644,1.4203624,0.00027690904,None,None,None
40000,1.6059046,1.4203624,0.0002762946,None,None,None
41000,-1.1545587,1.4203624,0.00027568938,-238.1199944987893,24413.0,-238.1199666261673
42000,-1.54453,1.4202888,0.00027510364,None,None,None
43000,-0.29390705,1.4202837,0.00027450843,None,None,None
44000,0.3322255,1.4202837,0.00027389402,None,None,None
45000,0.6916252,1.4202837,0.00027329885,None,None,None
46000,1.677802,1.4202837,0.0002727036,None,None,None
47000,0.13086072,1.4202836,0.0002720889,-36.9299986269325,6111.0,-36.92999053001404
48000,-1.4209688,1.4202837,0.00027149342,None,None,None
